item,mean_strength,rank,table,analysis,max_r_hat,min_ess_bulk
7,-2.130378323458052,17.0,gilbert_meta_2,without_gpt-5.4-mini,1.0,3445.0
8,-6.09710345863198,20.0,gilbert_meta_2,without_gpt-5.4-mini,1.0,3445.0
9,3.9698341069257697,4.0,gilbert_meta_2,without_gpt-5.4-mini,1.0,3445.0
10,0.002587683643469049,10.0,gilbert_meta_2,without_gpt-5.4-mini,1.0,3445.0
11,0.5332329654437405,8.0,gilbert_meta_2,without_gpt-5.4-mini,1.0,3445.0
12,-0.7695129952385987,15.0,gilbert_meta_2,without_gpt-5.4-mini,1.0,3445.0
13,0.3574086487705697,9.0,gilbert_meta_2,without_gpt-5.4-mini,1.0,3445.0
14,4.705086465219759,2.0,gilbert_meta_2,without_gpt-5.4-mini,1.0,3445.0
15,-5.620630078657331,18.0,gilbert_meta_2,without_gpt-5.4-mini,1.0,3445.0
16,-0.06189166302174572,11.0,gilbert_meta_2,without_gpt-5.4-mini,1.0,3445.0
17,-0.2628062217010922,12.0,gilbert_meta_2,without_gpt-5.4-mini,1.0,3445.0
18,0.5959086735090373,6.0,gilbert_meta_2,without_gpt-5.4-mini,1.0,3445.0
19,-1.5893389860547564,16.0,gilbert_meta_2,without_gpt-5.4-mini,1.0,3445.0
20,5.468991948384574,1.0,gilbert_meta_2,without_gpt-5.4-mini,1.0,3445.0
1,-5.125302627162266,18.0,gilbert_meta_2,without_gpt-5.6-luna,1.0,3425.0
2,4.320981167364484,3.0,gilbert_meta_2,without_gpt-5.6-luna,1.0,3425.0
3,0.2562760162545367,9.0,gilbert_meta_2,without_gpt-5.6-luna,1.0,3425.0
4,-0.21648550366563374,12.0,gilbert_meta_2,without_gpt-5.6-luna,1.0,3425.0
5,-0.2252482119673144,13.0,gilbert_meta_2,without_gpt-5.6-luna,1.0,3425.0
6,2.1198112968685483,5.0,gilbert_meta_2,without_gpt-5.6-luna,1.0,3425.0
7,-2.0763174540894522,17.0,gilbert_meta_2,without_gpt-5.6-luna,1.0,3425.0
8,-5.8511618550334195,20.0,gilbert_meta_2,without_gpt-5.6-luna,1.0,3425.0
9,3.380735879913603,4.0,gilbert_meta_2,without_gpt-5.6-luna,1.0,3425.0
10,0.05552265087094743,10.0,gilbert_meta_2,without_gpt-5.6-luna,1.0,3425.0
11,0.42967536110768284,6.0,gilbert_meta_2,without_gpt-5.6-luna,1.0,3425.0
12,-0.838383395556167,15.0,gilbert_meta_2,without_gpt-5.6-luna,1.0,3425.0
13,0.40713838628648696,7.0,gilbert_meta_2,without_gpt-5.6-luna,1.0,3425.0
14,4.747545894023877,2.0,gilbert_meta_2,without_gpt-5.6-luna,1.0,3425.0
15,-5.246551411835203,19.0,gilbert_meta_2,without_gpt-5.6-luna,1.0,3425.0
16,-0.346631804480467,14.0,gilbert_meta_2,without_gpt-5.6-luna,1.0,3425.0
17,-0.20027344178446915,11.0,gilbert_meta_2,without_gpt-5.6-luna,1.0,3425.0
18,0.38349782153333883,8.0,gilbert_meta_2,without_gpt-5.6-luna,1.0,3425.0
19,-1.5020131716308456,16.0,gilbert_meta_2,without_gpt-5.6-luna,1.0,3425.0
20,5.52718440298172,1.0,gilbert_meta_2,without_gpt-5.6-luna,1.0,3425.0
1,-3.9209794608524207,18.0,gilbert_meta_2,without_gpt-5.6-sol,1.0,3900.0
2,3.7604349534332946,3.0,gilbert_meta_2,without_gpt-5.6-sol,1.0,3900.0
3,0.6269871685212235,6.0,gilbert_meta_2,without_gpt-5.6-sol,1.0,3900.0
4,-0.1188196384490681,11.0,gilbert_meta_2,without_gpt-5.6-sol,1.0,3900.0
5,0.00022106991538779427,10.0,gilbert_meta_2,without_gpt-5.6-sol,1.0,3900.0
6,1.6241435299675193,5.0,gilbert_meta_2,without_gpt-5.6-sol,1.0,3900.0
7,-1.5571279576216306,17.0,gilbert_meta_2,without_gpt-5.6-sol,1.0,3900.0
8,-4.6633734193332135,20.0,gilbert_meta_2,without_gpt-5.6-sol,1.0,3900.0
9,3.0901038283521722,4.0,gilbert_meta_2,without_gpt-5.6-sol,1.0,3900.0
10,-0.2328058716967228,13.0,gilbert_meta_2,without_gpt-5.6-sol,1.0,3900.0
11,0.543650413061708,7.0,gilbert_meta_2,without_gpt-5.6-sol,1.0,3900.0
12,-1.2385157845276922,16.0,gilbert_meta_2,without_gpt-5.6-sol,1.0,3900.0
13,-0.20063010011679938,12.0,gilbert_meta_2,without_gpt-5.6-sol,1.0,3900.0
14,3.926399521987633,2.0,gilbert_meta_2,without_gpt-5.6-sol,1.0,3900.0
15,-4.534296890220498,19.0,gilbert_meta_2,without_gpt-5.6-sol,1.0,3900.0
16,0.18067983648113436,9.0,gilbert_meta_2,without_gpt-5.6-sol,1.0,3900.0
17,-0.4115877161532984,14.0,gilbert_meta_2,without_gpt-5.6-sol,1.0,3900.0
18,0.2837349556125402,8.0,gilbert_meta_2,without_gpt-5.6-sol,1.0,3900.0
19,-1.20958620346321,15.0,gilbert_meta_2,without_gpt-5.6-sol,1.0,3900.0
20,4.051367765101917,1.0,gilbert_meta_2,without_gpt-5.6-sol,1.0,3900.0
s_vocab_0_2021,1.8564229329377966,3.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_10_2021,1.366501462644476,9.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_11_2021,-0.9075840886520395,28.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_12_2021,-1.4598260083056975,31.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_13_2021,-0.7280050603400474,27.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_14_2021,-1.9492334451154143,33.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_15_2021,-0.4182883561474353,20.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_16_2021,-0.7109895947652931,26.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_17_2021,0.5705506441595131,13.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_18_2021,1.593268377592988,4.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_19_2021,-0.17103513569452675,18.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_1_2021,0.08584005500179985,16.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_20_2021,-0.6543849517209432,25.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_21_2021,-0.15888311969547617,17.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_22_2021,0.172236090661661,15.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_23_2021,-2.480783573924456,36.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_24_2021,0.26665441877795193,14.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_25_2021,0.8362339659852973,12.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_26_2021,-1.68937756754714,32.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_27_2021,1.515705601416897,5.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_28_2021,-2.313044801457343,35.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_29_2021,-0.9284625869488811,29.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_2_2021,1.4189089507285213,7.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_30_2021,1.0180372719954747,11.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_31_2021,-0.9704786628840159,30.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_32_2021,1.4593158461353506,6.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_33_2021,-0.2106765777722494,19.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_34_2021,-0.43449140646769685,21.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_35_2021,-0.5999850215297818,23.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_3_2021,-2.044274923734538,34.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_4_2021,2.1782295464062376,2.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_5_2021,1.3863245632062502,8.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_6_2021,-0.4936009476962381,22.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_7_2021,-0.6276268348294723,24.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_8_2021,2.8642422512651358,1.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_9_2021,1.3625606863133142,10.0,gilbert_meta_7,provider_balanced,1.0,5079.0
s_vocab_0_2021,1.832452304451085,3.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_10_2021,1.2386535217778418,9.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_11_2021,-0.6190694605564735,24.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_12_2021,-1.1569646481311184,30.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_13_2021,-0.9162087963230869,28.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_14_2021,-1.886758905057924,34.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_15_2021,-0.26237420690093183,18.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_16_2021,-0.7649978429906555,25.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_17_2021,0.8576636186210789,13.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_18_2021,1.3705990003257027,6.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_19_2021,-0.18104162492230613,17.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_1_2021,0.22263007104966712,15.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_20_2021,-1.1479747376173424,29.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_21_2021,-0.41732654129966373,22.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_22_2021,0.42146599551960967,14.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_23_2021,-2.1460444792684275,36.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_24_2021,0.09067937986078675,16.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_25_2021,1.101872264436858,10.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_26_2021,-1.2022673793684846,31.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_27_2021,1.4038299208102674,5.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_28_2021,-1.8444865751175776,33.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_29_2021,-0.8342219573131788,27.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_2_2021,1.284841421031202,7.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_30_2021,0.9916288208198266,12.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_31_2021,-1.256104647167727,32.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_32_2021,1.5345156807852727,4.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_33_2021,-0.38614489051276046,20.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_34_2021,-0.7910700217372358,26.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_35_2021,-0.5091170346510246,23.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_3_2021,-2.078280686525143,35.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_4_2021,2.098432897956244,2.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_5_2021,1.0260837391693682,11.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_6_2021,-0.29529073742963174,19.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_7_2021,-0.39050542607909744,21.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_8_2021,2.349341814604519,1.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_9_2021,1.2615601477504474,8.0,gilbert_meta_7,without_gemini-3-flash-preview,1.0,6133.0
s_vocab_0_2021,2.0440161628797506,4.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_10_2021,1.0866556764611568,9.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_11_2021,-0.8660680885975416,27.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_12_2021,-1.1957129661023125,29.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_13_2021,-1.0955375786953983,28.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_14_2021,-1.6783092081815303,33.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_15_2021,-0.18265805237531524,18.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_16_2021,-0.7400863861962335,26.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_17_2021,0.5292289492724275,12.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_18_2021,2.626545653838867,1.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_19_2021,-0.2030163868871127,19.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_1_2021,0.018460317497127298,16.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_20_2021,-0.6196193838765378,23.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_21_2021,-0.39594881048510533,21.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_22_2021,0.2681616551015466,14.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_23_2021,-2.25375808947683,36.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_24_2021,0.20250554191179315,15.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_25_2021,0.5209336606257643,13.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_26_2021,-1.4876274862632994,32.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_27_2021,1.5635324518178322,5.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_28_2021,-2.250482206570128,35.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_29_2021,-1.3585641661185237,31.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_2_2021,1.4299618102622826,7.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_30_2021,0.9212001903965387,11.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_31_2021,-1.238010242255906,30.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_32_2021,1.3393193407603128,8.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_33_2021,-0.4665089517513838,22.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_34_2021,-0.31583611353186614,20.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_35_2021,-0.6706267371147653,24.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_3_2021,-1.863477418593973,34.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_4_2021,2.1698329744367064,3.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_5_2021,1.0808794679439886,10.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_6_2021,-0.13025719965910654,17.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_7_2021,-0.7157468221132697,25.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_8_2021,2.4749487724876333,2.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_9_2021,1.4516696691524391,6.0,gilbert_meta_7,without_gemini-3.1-pro-preview,1.0,5498.0
s_vocab_0_2021,1.559881322568591,4.0,gilbert_meta_7,without_gemini-3.7-flash,1.0,5753.0
s_vocab_10_2021,1.137892423882582,9.0,gilbert_meta_7,without_gemini-3.7-flash,1.0,5753.0
s_vocab_11_2021,-0.9965996486776262,28.0,gilbert_meta_7,without_gemini-3.7-flash,1.0,5753.0
s_vocab_12_2021,-1.1725295191042213,31.0,gilbert_meta_7,without_gemini-3.7-flash,1.0,5753.0
s_vocab_13_2021,-1.0129102226693414,29.0,gilbert_meta_7,without_gemini-3.7-flash,1.0,5753.0
s_vocab_14_2021,-1.8961728657418566,34.0,gilbert_meta_7,without_gemini-3.7-flash,1.0,5753.0
s_vocab_15_2021,-0.5196142981551761,22.0,gilbert_meta_7,without_gemini-3.7-flash,1.0,5753.0
s_vocab_16_2021,-0.7907207257828983,25.0,gilbert_meta_7,without_gemini-3.7-flash,1.0,5753.0
